model,solver,depth,geometric_search_depth,steps,runs,leaf_heuristic,unsuccessful_reward,check_default_policy,drmean,drstd,urmean,urstd,cputime
N6despot10RockSampleE,DESPOT,10,0,90,1,rollout,-10000000000,0,9.97607,0,30,0,43.6097
N6despot10RockSampleE,POMCP,10,0,90,1,rollout,-10000000000,0,12.8712,0,20,0,15.5315
N6despot10RockSampleE,POMCP,10,0,90,1,SARSOP,-10000000000,0,0,0,0,0,115.704
N6despot10RockSampleE,POMCP,10,0,90,1,VI,-10000000000,0,0,0,0,0,117.272
N6despot10RockSampleE,POMCP,10,0,90,1,rollout,-10000000000,1,15.208,0,20,0,90.169
N6despot10RockSampleE,POMCP,10,1,90,1,rollout,-10000000000,0,13.4258,0,20,0,12.7396
N6despot10RockSampleE,DESPOT,20,0,90,1,rollout,-10000000000,0,20.0965,0,50,0,37.8357
N6despot10RockSampleE,POMCP,20,0,90,1,rollout,-10000000000,0,18.1586,0,30,0,19.2514
N6despot10RockSampleE,POMCP,20,0,90,1,SARSOP,-10000000000,0,0,0,0,0,118.231
N6despot10RockSampleE,POMCP,20,0,90,1,VI,-10000000000,0,0,0,0,0,116.742
N6despot10RockSampleE,POMCP,20,0,90,1,rollout,-10000000000,1,0,0,0,0,90.1232
N6despot10RockSampleE,POMCP,20,1,90,1,rollout,-10000000000,0,19.8409,0,30,0,16.6027
N6despot10RockSampleE,DESPOT,90,0,90,1,rollout,-10000000000,0,23.2634,0,50,0,35.6223
N6despot10RockSampleE,POMCP,90,0,90,1,rollout,-10000000000,0,0,0,0,0,98.2588
N6despot10RockSampleE,POMCP,90,0,90,1,SARSOP,-10000000000,0,0,0,0,0,114.447
N6despot10RockSampleE,POMCP,90,0,90,1,VI,-10000000000,0,0,0,0,0,117.589
N6despot10RockSampleE,POMCP,90,0,90,1,rollout,-10000000000,1,0,0,0,0,90.1738
N6despot10RockSampleE,POMCP,90,1,90,1,rollout,-10000000000,0,15.0374,0,50,0,82.1177
