model,solver,depth,geometric_search_depth,steps,runs,leaf_heuristic,unsuccessful_reward,check_default_policy,drmean,drstd,urmean,urstd,cputime
N6despot11TagNoOppObsE,DESPOT,10,0,90,1,rollout,-1,0,-15.9417,0,-29,0,46.4335
N6despot11TagNoOppObsE,POMCP,10,0,90,1,rollout,-1,0,-13.2219,0,-19,0,34.2502
N6despot11TagNoOppObsE,POMCP,10,0,90,1,SARSOP,-1,0,-13.2219,0,-19,0,41.3698
N6despot11TagNoOppObsE,POMCP,10,0,90,1,VI,-1,0,-19.8022,0,-90,0,125.057
N6despot11TagNoOppObsE,POMCP,10,0,90,1,rollout,-1,1,-19.326,0,-64,0,75.0257
N6despot11TagNoOppObsE,POMCP,10,1,90,1,rollout,-1,0,-18.815,0,-53,0,74.1704
N6despot11TagNoOppObsE,DESPOT,10,0,90,1,rollout,-2,0,-19.7665,0,-45,0,56.7234
N6despot11TagNoOppObsE,POMCP,10,0,90,1,rollout,-2,0,-3.7505,0,-2,0,13.0054
N6despot11TagNoOppObsE,POMCP,10,0,90,1,SARSOP,-2,0,-20.0401,0,-91,0,128.731
N6despot11TagNoOppObsE,POMCP,10,0,90,1,VI,-2,0,-19.2843,0,-57,0,78.4866
N6despot11TagNoOppObsE,POMCP,10,0,90,1,rollout,-2,1,-17.1346,0,-34,0,44.0431
N6despot11TagNoOppObsE,POMCP,10,1,90,1,rollout,-2,0,-17.5338,0,-32,0,43.8995
N6despot11TagNoOppObsE,DESPOT,10,0,90,1,rollout,-10,0,-22.4665,0,-62,0,61.7687
N6despot11TagNoOppObsE,POMCP,10,0,90,1,rollout,-10,0,-19.8022,0,-90,0,90.1277
N6despot11TagNoOppObsE,POMCP,10,0,90,1,SARSOP,-10,0,-19.8022,0,-90,0,122.165
N6despot11TagNoOppObsE,POMCP,10,0,90,1,VI,-10,0,-19.8022,0,-90,0,117.454
N6despot11TagNoOppObsE,POMCP,10,0,90,1,rollout,-10,1,-19.8022,0,-90,0,90.0171
N6despot11TagNoOppObsE,POMCP,10,1,90,1,rollout,-10,0,-19.8022,0,-90,0,90.5638
N6despot11TagNoOppObsE,DESPOT,20,0,90,1,rollout,-1,0,-9.24542,0,-10,0,21.955
N6despot11TagNoOppObsE,POMCP,20,0,90,1,rollout,-1,0,-15.9417,0,-29,0,50.2126
N6despot11TagNoOppObsE,POMCP,20,0,90,1,SARSOP,-1,0,7.075,0,8,0,4.05834
N6despot11TagNoOppObsE,POMCP,20,0,90,1,VI,-1,0,-19.8022,0,-90,0,119.023
N6despot11TagNoOppObsE,POMCP,20,0,90,1,rollout,-1,1,-9.24542,0,-10,0,21.0324
N6despot11TagNoOppObsE,POMCP,20,1,90,1,rollout,-1,0,-8.08357,0,-8,0,21.2851
N6despot11TagNoOppObsE,DESPOT,20,0,90,1,rollout,-2,0,-17.074,0,-28,0,37.0666
N6despot11TagNoOppObsE,POMCP,20,0,90,1,rollout,-2,0,-3.79337,0,-2,0,14.3804
N6despot11TagNoOppObsE,POMCP,20,0,90,1,SARSOP,-2,0,-0.0973871,0,2,0,12.1203
N6despot11TagNoOppObsE,POMCP,20,0,90,1,VI,-2,0,-8.05513,0,-8,0,23.1048
N6despot11TagNoOppObsE,POMCP,20,0,90,1,rollout,-2,1,-17.8872,0,-32,0,37.0318
N6despot11TagNoOppObsE,POMCP,20,1,90,1,rollout,-2,0,-14.0636,0,-20,0,31.9277
N6despot11TagNoOppObsE,DESPOT,20,0,90,1,rollout,-10,0,-14.4792,0,-23,0,35.3712
N6despot11TagNoOppObsE,POMCP,20,0,90,1,rollout,-10,0,-20.2617,0,-99,0,90.3224
N6despot11TagNoOppObsE,POMCP,20,0,90,1,SARSOP,-10,0,-19.8022,0,-90,0,120.363
N6despot11TagNoOppObsE,POMCP,20,0,90,1,VI,-10,0,-19.8022,0,-90,0,114.995
N6despot11TagNoOppObsE,POMCP,20,0,90,1,rollout,-10,1,-18.9485,0,-44,0,46.0343
N6despot11TagNoOppObsE,POMCP,20,1,90,1,rollout,-10,0,-19.8022,0,-90,0,90.6337
N6despot11TagNoOppObsE,DESPOT,90,0,90,1,rollout,-1,0,-11.2403,0,-14,0,25.2465
N6despot11TagNoOppObsE,POMCP,90,0,90,1,rollout,-1,0,-10.294,0,-12,0,25.4283
N6despot11TagNoOppObsE,POMCP,90,0,90,1,SARSOP,-1,0,2.05276,0,4,0,9.42734
N6despot11TagNoOppObsE,POMCP,90,0,90,1,VI,-1,0,10,0,10,0,1.32101
N6despot11TagNoOppObsE,POMCP,90,0,90,1,rollout,-1,1,10,0,10,0,1.01615
N6despot11TagNoOppObsE,POMCP,90,1,90,1,rollout,-1,0,-15.0175,0,-25,0,38.8122
N6despot11TagNoOppObsE,DESPOT,90,0,90,1,rollout,-2,0,-19.5462,0,-48,0,54.4953
N6despot11TagNoOppObsE,POMCP,90,0,90,1,rollout,-2,0,-3.7505,0,-2,0,13.0156
N6despot11TagNoOppObsE,POMCP,90,0,90,1,SARSOP,-2,0,-18.2483,0,-45,0,76.0711
N6despot11TagNoOppObsE,POMCP,90,0,90,1,VI,-2,0,-16.994,0,-34,0,54.976
N6despot11TagNoOppObsE,POMCP,90,0,90,1,rollout,-2,1,-11.199,0,-13,0,22.0202
N6despot11TagNoOppObsE,POMCP,90,1,90,1,rollout,-2,0,-14.4344,0,-21,0,31.0303
N6despot11TagNoOppObsE,DESPOT,90,0,90,1,rollout,-10,0,-1.09252,0,1,0,10.0184
N6despot11TagNoOppObsE,POMCP,90,0,90,1,rollout,-10,0,-24.6655,0,-99,0,90.8269
N6despot11TagNoOppObsE,POMCP,90,0,90,1,SARSOP,-10,0,-19.8022,0,-90,0,120.935
N6despot11TagNoOppObsE,POMCP,90,0,90,1,VI,-10,0,-19.8022,0,-90,0,115.175
N6despot11TagNoOppObsE,POMCP,90,0,90,1,rollout,-10,1,-16.9576,0,-25,0,27.0794
N6despot11TagNoOppObsE,POMCP,90,1,90,1,rollout,-10,0,-19.4785,0,-69,0,80.7955
